url,tipo,bairro,cidade,objetivo,preco,area_util,quartos,suites,vagas
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40465,Apartamento,Vila Monumento,São Paulo,Locação,1350.0,18.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40397,Apartamento,Vila Monumento,São Paulo,Locação,1350.0,17.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-assobradada-vila-parque-jabaquara/JA37641,Casa Assobradada,Vila Parque Jabaquara,São Paulo,Locação,1350.0,45.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-santa-catarina/JA40758,Casa Térrea,Vila Santa Catarina,São Paulo,Locação,1350.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-de-vila-ipiranga/JA39462,Casa de Vila,Ipiranga,São Paulo,Locação,1350.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA41044,Conjunto Comercial,Saúde,São Paulo,Locação,1360.0,40.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA41043,Conjunto Comercial,Saúde,São Paulo,Locação,1360.0,40.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA40394,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1360.64,40.0,,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22450,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/MO5852,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22451,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22456,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22465,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA23841,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22461,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA23843,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22464,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22452,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22462,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA23845,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22466,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA15644,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22455,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
